Date,News_items
2017-01-01 00:00:00,"['How Long Do Vacuum Cleaners Last? - Consumer Reports', 'Dakar Rally 2017: CS Santosh And Aravind KP Are Ready For The Challenge - DriveSpark']"
2017-01-02 00:00:00,"['Why a race track plays a crucial role in motorcycle design - Hindustan Times', 'Honda to introduce Navi Chrome and Navi Adventure in 2017 - The Financial Express', 'US supports Ugandan troops in Somalia - New Vision', 'HICKEN ON OUTDOORS: Hot water lakes are the place to be - Alton Telegraph', 'Pagani Huayra Roadster Teased Ahead Of Geneva Debut - DriveSpark']"
2017-01-03 00:00:00,"['INDIA SALES ANALYSIS: December 2016 - Autocar Professional', 'CES 2017: What to expect at the biggest tech trade show of the year - The Verge', 'Porsche Macan R4 road test review - Overdrive', 'Dakar Rally 2017: Meet the Indian riders and squads participating in ... - IBTimes India', 'Track test: Volkswagen Polo GTI - Overdrive']"
2017-01-04 00:00:00,"['125cc, 150cc scooter market to see expansion in India - Autocar Professional', 'Royal Enfield Continental GT 750cc to be launched in April 2017 - The Financial Express', 'Bajaj V12 launched in India at Rs 56,283 - Overdrive', 'Ford CEO: Main reason for canceling Mexico plant was market demand, not Trump - CNBC', 'Honda Navi gets two new customisation options - Overdrive']"
2017-01-05 00:00:00,"['Yamaha FZ250 teased, launch on 24th Jan - The Financial Express', 'New Suzuki Jimny could be launched as Maruti Suzuki Gypsy. Specifications, Features and Expected Price - The Financial Express', ""Why everyone's talking to Amazon's virtual assistant Alexa - CBC.ca"", 'Off-roading with the new Ford Endeavour in Philippines - Overdrive', 'Que legal! Lego Boost dará vida a robôs, animais e outras criações ... - TudoCelular.com']"
2017-01-06 00:00:00,"['6 ads that will make you miss Mahendra Singh Dhoni even more - ETBrandEquity', 'Aprilia RSV4 R FW-GP is a 250 hp bike you can buy! Well, possibly - The Financial Express', 'Comparo: Hero Achiever 150 vs Bajaj V15 vs Honda CB Unicorn - Overdrive', 'Hands on: TCL Moveband review - TechRadar', 'Toyota Concept-i | News, Specs, Technology, Pictures - Digital Trends']"
2017-01-07 00:00:00,"['CES 2017 : Check Out the Hyundai Ioniq Scooter Concept - Motoroids', 'This Honda motorcycle can balance itself and this car can earn for you! Really - The Financial Express', 'Technics’ SL-1200GR turntable cuts back in all the right ways to cut the price in half - Digital Trends', 'Whitehorse house burgled while homeowners away at family funeral - CBC.ca', 'McIntosh MT5 review - What Hi-Fi?']"
2017-01-08 00:00:00,"['Lista traz os melhores e piores jogos do detetive Sherlock Holmes - TechTudo', 'Acrobacias de la policía francesa motorizada - SoyMotero.net', 'MV Agusta To Unveil Special Edition Dragster At Verona Motor Bike Expo - DriveSpark']"
2017-01-09 00:00:00,"['Vulture funds pay just €8,000 in tax on €10 billion of assets - TheJournal.ie', 'Vernetzte Geräte: Alexa, warum bist du überall? - WELT', 'Faraday Future’s FF91 Electric SUV Garners 64,000 Bookings In Just 36 Hours - DriveSpark', '2017 Detroit Auto Show: Stunning Kia Stinger GT Revealed - DriveSpark']"
2017-01-10 00:00:00,"['CES 2017: sony, xiaomi + LG TVs make waves with glorious audio ... - Designboom', 'Rockman eyes diversification beyond two-wheeler parts - Business Standard Motoring', 'UM Motorcycles increases prices of Renegade Commando and Sports S - The Financial Express', 'Hero Xtreme 200S to be launched in 2017; here is all you need to ... - IBTimes India', 'This is how the new Yamaha R15 Version 3.0 looks, India launch in 2017 - The Financial Express']"
