time_step,lstm_layers,lstm_units,kernel_initializer,regularizer,penalty,drop_out,drop_out_rate,learning_rate,loss,binary_accuracy,f1_score,roc_auc,val_loss,val_binary_accuracy,val_f1_score,val_roc_auc,Epoch
9,2,34,HeNormal,l2,0.009824543,TRUE,0.15,0.003828705,0.650536299,0.730126917,0.68923074,0.828750491,1.049238205,0.616438329,0.5,0.620120108,20
4,2,42,GlorotNormal,l2,0.014531293,FALSE,0.95,0.008316141,0.708123028,0.562583208,0.459259272,0.541846275,0.698087275,0.589743614,0.333333343,0.621710539,20
9,4,32,GlorotNormal,l2,0.073879496,TRUE,0.45,0.000115109,2.077843189,0.565798283,0.50757575,0.589848459,2.032263994,0.506849289,0,0.604729712,20
5,3,54,HeNormal,l1,0.001395511,FALSE,0,0.003492866,0.782527089,0.601598918,0.502495885,0.589725375,0.85920608,0.532467544,0.357142866,0.618083656,20
6,4,92,GlorotNormal,l1,0.001847865,TRUE,0.4,0.000138744,1.618145823,0.584666669,0.505947649,0.615779281,1.616919518,0.513157904,0.139534876,0.618767321,20
9,4,98,HeNormal,l2,0.014513514,FALSE,0.6,0.002336171,0.711556911,0.533734143,0.50496453,0.547118068,0.699857891,0.534246564,0.638297796,0.611486495,20
8,3,81,HeNormal,l2,0.004448908,TRUE,0.4,0.000114656,6.14554882,0.50934577,0.435917109,0.523261607,6.008610249,0.621621609,0.533333302,0.622807026,20
4,3,81,GlorotNormal,l2,0.032987575,FALSE,0.55,0.004263665,0.704113603,0.56125164,0.441998303,0.548221231,0.704100966,0.551282048,0.285714269,0.610526323,20
6,4,59,GlorotNormal,l2,0.001233726,FALSE,0.75,0.000151886,0.76058042,0.838666677,0.801639318,0.923597813,1.201874971,0.565789461,0.377358526,0.611149549,20
8,3,15,HeNormal,l2,0.006282265,TRUE,0.5,0.002570345,0.687753975,0.592790365,0.541353405,0.620441496,0.684169114,0.594594598,0.482758582,0.66301167,20
9,3,72,GlorotNormal,l2,0.022207091,TRUE,0.75,0.000172757,0.696917355,0.587174356,0.520930231,0.615129948,0.710856915,0.561643839,0.199999988,0.622747779,20
7,2,29,GlorotNormal,l2,0.030495415,TRUE,0.8,0.008553027,0.710110426,0.533689141,0.365122646,0.509045839,0.718598604,0.546666682,0.346153855,0.602062583,20
2,5,16,HeNormal,l2,0.005347601,TRUE,0.35,0.00851938,0.711000264,0.567819178,0.416517049,0.528891742,0.705801666,0.637499988,0.65882355,0.625312507,20
1,2,26,GlorotNormal,l1,0.002370073,FALSE,0.55,0.004374053,0.727069855,0.615946829,0.539808929,0.637844801,0.740576267,0.567901254,0.588235319,0.636585355,20
10,5,32,HeNormal,l1,0.001945808,FALSE,0.2,0.000165603,5.130413532,0.752673805,0.695222378,0.836944222,5.261246204,0.597222209,0.567164183,0.610424757,20
9,3,90,HeNormal,l1,0.001567124,FALSE,0.15,0.001994398,0.626794934,0.745490968,0.720879078,0.83160156,1.266928673,0.616438329,0.517241359,0.606606603,20
1,2,89,HeNormal,l2,0.004181883,FALSE,0,0.000460494,0.181062967,0.980066419,0.974226892,0.998518944,2.00257802,0.69135803,0.657534242,0.65487802,20
6,3,98,HeNormal,l2,0.005293392,TRUE,0.35,0.001152819,0.679482639,0.656666696,0.613653362,0.724107802,0.843811333,0.671052635,0.603174627,0.617382288,20
6,4,22,GlorotNormal,l1,0.00167617,TRUE,0.9,0.000979993,0.712225854,0.463333338,0.465826154,0.517838538,0.720011294,0.618421078,0.674157321,0.659279823,20
7,4,25,GlorotNormal,l2,0.032717301,FALSE,0.5,0.002567442,0.655363739,0.669112742,0.637426913,0.722077966,0.765847147,0.613333344,0.591549277,0.607396901,20
7,2,11,GlorotNormal,l2,0.002134761,TRUE,0.8,0.007554544,0.71355927,0.545697153,0.4625099,0.545318782,0.707321882,0.560000002,0.297872335,0.610597372,20
8,4,89,HeNormal,l2,0.005691214,FALSE,0.1,0.003072822,0.705534041,0.556074739,0.5113886,0.576639891,0.704499304,0.594594598,0.53125006,0.603070199,20
7,3,37,HeNormal,l2,0.033663367,FALSE,0.5,0.002647525,0.572526395,0.788525701,0.747007191,0.851033688,0.937577307,0.600000024,0.516129076,0.62197721,20
3,4,64,GlorotNormal,l1,0.060861375,TRUE,0.1,0.000112259,19.04634476,0.527611434,0.468562901,0.553361893,16.93884659,0.531645596,0.274509817,0.600000024,20
10,2,46,GlorotNormal,l2,0.002210235,TRUE,0.65,0.00018308,0.691756904,0.620989323,0.560124099,0.682395995,0.787695885,0.583333313,0.25,0.611969113,20
7,3,59,HeNormal,l2,0.003218812,FALSE,0,0.002435656,0.669951975,0.687791884,0.647058845,0.770824313,0.816411614,0.573333323,0.483870953,0.638691306,20
5,4,30,GlorotNormal,l2,0.001231642,FALSE,0.95,0.0005382,0.197225332,0.977348447,0.970434785,0.99798274,2.024625063,0.61038959,0.53125,0.600539863,20
7,5,70,HeNormal,l2,0.028168241,FALSE,0.9,0.001858635,0.652494669,0.703802526,0.67591238,0.750033021,0.874478281,0.573333323,0.466666669,0.632645845,20
9,5,57,GlorotNormal,l2,0.008395597,FALSE,0.55,0.004018047,0.714199007,0.538410127,0.445870072,0.529344916,0.708607018,0.506849289,0.660377383,0.605480492,20
1,4,46,GlorotNormal,l2,0.018144908,FALSE,0.9,0.001678637,0.679338276,0.627906978,0.556962073,0.639305234,0.696000874,0.604938269,0.529411733,0.60731709,20
4,2,48,GlorotNormal,l2,0.03317864,FALSE,0.75,0.001078641,0.625125945,0.692410111,0.654708564,0.776262045,0.8671754,0.615384638,0.53125,0.603289485,20
10,4,100,GlorotNormal,l2,0.048174119,FALSE,0,0.000578574,0.708705902,0.564171135,0.484992117,0.564648986,0.704969525,0.513888896,0.054054055,0.60540539,20
3,2,70,HeNormal,l2,0.010730162,TRUE,0.3,0.001490488,0.530843318,0.849634051,0.812603652,0.921544671,1.0789783,0.658227861,0.630137026,0.637179494,20
4,3,14,HeNormal,l2,0.001155188,TRUE,0.6,0.006184222,0.706756413,0.545272946,0.489917815,0.567951977,0.701291859,0.551282048,0.406779647,0.610855281,20
3,4,42,GlorotNormal,l2,0.001627116,FALSE,0.7,0.001362223,0.288828164,0.962741196,0.951724172,0.993665218,1.859267235,0.594936728,0.5,0.600641012,20
7,4,15,GlorotNormal,l2,0.047872394,FALSE,0.8,0.001444169,0.663244069,0.627084732,0.608269095,0.681039274,0.866212666,0.546666682,0.190476194,0.602773845,20
9,3,93,GlorotNormal,l2,0.084533556,TRUE,0.55,0.00018901,0.726767182,0.585838318,0.520123839,0.609047651,0.752983153,0.534246564,0.105263159,0.604354322,20
9,4,62,GlorotNormal,l2,0.070265604,TRUE,0.4,0.000671723,0.705942333,0.569138288,0.495699763,0.577087104,0.714491725,0.534246564,0.105263159,0.607357383,20
1,4,14,HeNormal,l2,0.010176041,FALSE,0.6,0.000249768,0.697340727,0.790697694,0.742857158,0.870489955,0.960277975,0.654321015,0.600000024,0.648170769,20
6,5,68,HeNormal,l2,0.00243592,TRUE,0.8,0.001080085,2.437288761,0.489333332,0.430059522,0.492903352,2.371638536,0.618421078,0.632911384,0.622576118,20
4,5,33,HeNormal,l2,0.064046877,FALSE,0.8,0.001822807,0.703330874,0.566577911,0.469437659,0.574312866,0.711277068,0.512820542,0.512820542,0.607565761,20
6,5,88,HeNormal,l2,0.089610156,FALSE,0.9,0.000230979,1.141135931,0.660000026,0.607692301,0.727488399,1.187242866,0.578947365,0.407407433,0.608379483,20
4,5,84,HeNormal,l2,0.00147413,FALSE,0.65,0.000406796,0.716495454,0.979360878,0.972972929,0.996960461,2.416387081,0.666666687,0.580645204,0.663486838,20
3,5,51,HeNormal,l2,0.005965635,FALSE,0.2,0.000365485,0.279121011,0.997338653,0.996521711,0.999824643,2.017594814,0.658227861,0.640000045,0.652884603,20
1,4,34,HeNormal,l2,0.002880816,FALSE,0.55,0.001697171,0.216117412,0.976079762,0.968858123,0.996678829,1.984700203,0.61728394,0.626506031,0.602743924,20
5,3,92,GlorotNormal,l2,0.009905604,FALSE,0.85,0.00121583,0.088228688,0.994670212,0.993043482,0.999390244,2.654961824,0.584415555,0.5,0.614372492,20
10,3,16,HeNormal,l1,0.002458322,TRUE,0.85,0.000750627,1.125145674,0.487967908,0.438416451,0.493196398,1.085938811,0.666666687,0.684210598,0.659073353,20
8,3,64,HeNormal,l2,0.005312719,TRUE,0.35,0.00105538,0.765824795,0.594125509,0.548961461,0.66432339,0.770897865,0.67567569,0.647058785,0.668494165,20
7,3,25,HeNormal,l2,0.070833525,TRUE,0.15,0.000418344,2.851252317,0.61107403,0.549806952,0.654328942,2.72729969,0.533333361,0.146341458,0.605263174,20
9,3,69,GlorotNormal,l1,0.00113948,TRUE,0.05,0.000383669,0.979929805,0.685370743,0.625298321,0.744108737,1.080195427,0.547945201,0.15384616,0.679429412,20
1,4,96,GlorotNormal,l2,0.00819497,TRUE,0.1,0.00017965,0.614505589,0.764119625,0.715772569,0.848768592,0.84883827,0.61728394,0.597402573,0.648780465,20
6,3,62,GlorotNormal,l1,0.065629844,TRUE,0.1,0.00011279,9.895243645,0.546000004,0.482129306,0.572410226,8.718603134,0.618421078,0.452830195,0.606648207,20
10,5,10,GlorotNormal,l2,0.003948032,FALSE,0.5,0.002248628,0.633292794,0.710561514,0.681383371,0.794594586,0.865567982,0.597222209,0.567164183,0.602316618,20
3,5,11,HeNormal,l1,0.001696033,TRUE,0.15,0.00317272,0.73476088,0.580838323,0.494382054,0.593752265,0.737513483,0.518987358,0.208333343,0.616025627,20
10,4,47,GlorotNormal,l1,0.019460838,TRUE,0.7,0.000120208,2.628566742,0.520053446,0.420032322,0.521520317,2.402657509,0.555555582,0.428571433,0.610810757,20
1,2,52,GlorotNormal,l2,0.027125012,TRUE,0.95,0.002177994,0.700329006,0.398006648,0.548354924,0.499831706,0.704676211,0.493827164,0.661157072,0.65487808,20
3,3,46,HeNormal,l2,0.001399209,FALSE,0.5,0.000214275,0.611586452,0.970059872,0.961767197,0.996887922,1.676760674,0.620253146,0.558823586,0.619551361,20
8,4,38,HeNormal,l2,0.072789729,FALSE,0.45,0.000118319,45.69404984,0.57543391,0.533039629,0.630446792,44.44156647,0.635135114,0.5090909,0.716374278,20
6,5,15,GlorotNormal,l1,0.001241967,FALSE,0.95,0.003296654,0.607416928,0.792666674,0.755695224,0.85527283,0.92307204,0.618421078,0.567164183,0.636080384,20
6,2,88,HeNormal,l2,0.028665617,FALSE,0.95,0.003833639,0.701631486,0.556666672,0.468425274,0.567985892,0.699069023,0.592105269,0.456140369,0.609418273,20
3,5,83,GlorotNormal,l2,0.042832803,FALSE,0.1,0.000516043,0.679387569,0.56021291,0.550645828,0.617122293,0.709907889,0.518987358,0.660714269,0.633653879,20
4,4,25,GlorotNormal,l1,0.001735903,FALSE,0,0.000411615,0.691948235,0.850865483,0.813021779,0.933895648,1.382903218,0.641025662,0.533333302,0.629605234,20
9,3,26,GlorotNormal,l1,0.001002095,TRUE,0.2,0.000621177,0.77435714,0.684702754,0.630094111,0.739964962,0.897752345,0.520547926,0.313725501,0.618993998,20
6,2,45,HeNormal,l1,0.001117668,FALSE,0.5,0.006429327,0.515059829,0.933333337,0.915110409,0.97930634,1.560337424,0.644736826,0.597014964,0.698060989,20
