,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq
3,A,ACM,-1.5719856677522908,2.4241604085136625,110.22348907461374,0.0,0.8284940882463578,0.0266762138730447,-0.0002768297241314446,0.8327771493212851,0.1831730438733543
6,A,ADI,-0.1793365080979314,1.0121504306802716,232.5968871895048,0.0,0.95557817324628,0.0158643701569984,-0.005481591823218456,0.020945374140921545,0.30703731356349007
18,A,AJG,-0.0462438748090726,1.0591971772318642,266.21944210441,0.0,0.9657299946818771,0.0012039218790485,-0.00766069545451237,0.006822751430859754,0.23936859705878233
26,A,AME,-0.691714361310479,1.2887182559813375,221.36535632976432,0.0,0.9511817519518276,0.0090741700023491,-0.006130785082900585,0.006483984844315484,0.3130049829432964
32,A,AON,0.4707833193015394,1.0063634779935315,169.20373166767138,0.0,0.9192484235599844,0.0226546138771991,-0.0015965714532281588,0.03226931065388463,0.17530369095756604
39,A,ARCC,-1.6899495954305137,2.3597073152770207,153.4691894297216,0.0,0.9035207895649412,0.0100989855089312,-0.0010887838656031123,0.549692458928448,0.1157157100359234
49,A,AXP,-1.2778098310623112,1.8402840498287925,127.55532330582314,0.0,0.8661191516920357,0.0270117366083885,0.0006919153374852609,0.6440029784221589,0.17033110691490727
62,A,BCE,-5.285986608885479,5.788398576434703,119.33824026303662,0.0,0.8499100258861794,0.0242103214298719,-0.0008478964181228706,0.5571515426167438,0.1329179238140068
72,A,BIP,-0.5472705950773191,1.1941297431737177,181.6731269222608,0.0,0.9291950690836992,0.0102435039097564,-0.004069825590484659,0.05145675125797433,0.14302534004589462
77,A,BLK,-0.3478607788786877,1.0518657501268944,247.7283321817224,0.0,0.9606319713268026,0.0015239972819519,-0.007955503975589685,0.0015536779770430331,0.3099553760339593
81,A,BN,-0.6181425404727611,1.1295129305924894,193.46769379952465,0.0,0.9370380314893468,0.002323934561597,-0.002764230425971911,0.1917872197516726,0.21921443785257366
85,A,BRO,-0.038433994070809,1.042667365582901,198.0990847602133,0.0,0.9397723765333634,0.0485526361242619,-0.0038080314877293638,0.07351467587475992,0.24371056636928046
98,A,CBRE,-0.3593037674816511,1.143428246393953,164.65211088115183,0.0,0.9151063953993104,0.0086787102378854,-0.00018799020347490042,0.9211586377064933,0.15446814162267453
100,A,CCI,-0.5019908940378376,1.113397026158022,161.85307763598257,0.0,0.912404189331292,0.0289326355773757,-0.004837134711744429,0.010101717131752251,0.1397706775958324
135,A,CRH,-1.5413919506846894,2.2312004073525027,132.07772997269703,0.0,0.8739950084536623,0.018335893453136,-0.0027704526132773725,0.06872183128561718,0.19007092081666765
152,A,DE,0.3256765664811081,1.0882498906696794,215.42274295037043,0.0,0.948591591719754,0.0029920497639697,-0.007587193736435162,0.0018665686700294474,0.1521635857902709
153,A,DECK,0.7659093442573788,1.1222188529881585,173.24650138277246,0.0,0.9226852063955028,0.0042463508692384,-0.0045873135513244696,0.02270617784555058,0.13144289578106216
154,A,DEO,-2.544524347548566,2.918266022045583,127.68413691672866,0.0,0.8663530618335892,0.0432880441340071,-0.0012911917630893284,0.3950538124905195,0.1457140436444887
157,A,DGX,-1.2914350823130525,2.250795968016378,134.8183675976443,0.0,0.8784495218681619,0.0446343870276221,-0.0019628155617188933,0.21708939692889992,0.1467811985812394
164,A,DOV,-0.42116042668401,1.3336622392079909,256.0619978655017,0.0,0.9630596572549744,0.0006692398007481,-0.007876889327908913,0.00332179587532433,0.2639592120498496
169,A,DUK,-2.890680267149239,3.449131699445766,122.8903677728456,0.0,0.8572405100779232,0.0420496462547312,-0.001469272037965557,0.33261317265499146,0.09020185787701795
174,A,EBAY,-0.7100429665171133,1.264136697501745,197.5318653364301,0.0,0.939446963444593,0.0002660775897535,-0.004822174695488669,0.03454707149580545,0.12982924521695183
183,A,EL,-0.1649244225643427,1.0486096785503467,251.95187418248048,0.0,0.9618909062011252,0.0289830284212437,-0.005882057380413443,0.007371942255654477,0.18379342830352452
188,A,EMR,-2.3966243281824537,3.1129305575042374,144.39735322995526,0.0,0.8923631119479352,0.0120453342075255,-0.0018681709281892739,0.2449616883165133,0.2308007470590624
202,A,ETN,-0.7463696501261499,1.5872699768963718,242.18036708023783,0.0,0.9588826076076044,0.0013281074868408,-0.00730161255829722,0.003772104349204553,0.2770332676324434
208,A,EXPD,-0.8631795013757411,2.098231538857718,264.0852330232992,0.0,0.965193206910758,5.45914257162787e-05,-0.011063974606756344,0.00013120769944960676,0.1937434819767817
212,A,FAST,-0.6390652394010576,2.056137113624947,174.76059428895573,0.0,0.923917600008938,0.0307665579252426,-0.005821962723879297,0.0025021990698688933,0.21655889245016402
213,A,FCNCA,-0.1521023311267148,1.298992953593469,168.7280687127115,0.0,0.918829495299953,0.0062121388103178,-0.002504739062989308,0.21305784118256757,0.0913837810561362
218,A,FERG,-0.5869224911664598,1.1895715980279604,203.32442851236647,0.0,0.9426529976004088,0.0196927303651995,-0.002168811769897386,0.38437842955209,0.02161915698001171
231,A,FTS,-3.401520565623918,4.910912072874181,130.7385976922675,0.0,0.871733284721741,0.0185839586814331,-0.0024379471073226635,0.12102404375209101,0.12084630272808072
234,A,GEN,-0.7687905034077329,1.5752451845331488,118.13701343867685,0.0,0.8473106698745883,0.0346889683253959,-0.003281783369783736,0.025426381132944712,0.08606541954456726
236,A,GGG,0.3908105684969972,1.021517791449924,214.3511429677644,0.0,0.9481030397032564,0.0232293371948806,-0.002026546063381772,0.008154414954041614,0.28581785856857
